Product,Year,Quarter,Value,ProcessedTimestamp,filename
Crude Oil & NGLs,1999,1st quarter,19890.75,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,1999,2nd quarter,20758.26,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,1999,3rd quarter,23590.02,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,1999,4th quarter,24682.97,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2000,1st quarter,23952.26,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2000,2nd quarter,23224.01,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2000,3rd quarter,21607.51,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2000,4th quarter,21297.59,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2001,1st quarter,20110.32,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2001,2nd quarter,21644.5,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2001,3rd quarter,20386.36,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2001,4th quarter,22299.56,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2002,1st quarter,22074.49,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2002,2nd quarter,23968.83,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2002,3rd quarter,17690.09,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2002,4th quarter,21294.69,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2003,1st quarter,19719.96,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2003,2nd quarter,16785.91,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2003,3rd quarter,18151.69,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2003,4th quarter,17868.63,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2004,1st quarter,17373.73,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2004,2nd quarter,16387.45,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2004,3rd quarter,14793.61,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2004,4th quarter,14858.07,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2005,1st quarter,14045.36,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
